,East Metal Co.,Sakura Steelworks,Black Forest Steel Co.
2026-06-01,720.9967878004982,830.4732764535459,833.7249177155655
2026-06-02,720.7771353216324,830.6800180048799,833.5005271011569
2026-06-03,721.2167407166788,830.5925452629488,833.2148681200454
2026-06-04,721.315907598877,830.8983529298894,833.4664795569139
2026-06-05,721.3921401142056,830.9944658819447,833.1861219758641
2026-06-06,721.4728933984054,831.0722447292698,833.5054274566523
2026-06-07,721.6267427592579,831.1695350554038,834.729398495812
2026-06-08,721.7251242417567,831.2228517844287,833.9469879628108
2026-06-09,721.451504129585,831.3186455789029,834.7409576929412
2026-06-10,721.4463349908243,831.162192930523,834.6307680271893
2026-06-11,721.7224741149828,831.139893547258,835.2066967918735
2026-06-12,721.9509678969723,831.2538199199927,835.5572287752648
2026-06-13,722.0777918535119,831.3944438327968,836.7976864969099
2026-06-14,722.0585451557572,831.452548451102,837.2279129243881
2026-06-15,722.1899605604187,831.3669459360442,836.5389533795262
2026-06-16,722.5536587418724,831.4473011351643,835.7855593112113
2026-06-17,722.3217604818827,831.6551124527133,836.4957510767288
2026-06-18,722.3105633851005,831.4968505583774,835.9599069086854
2026-06-19,722.5111263911422,831.4696672188124,836.6564867328441
2026-06-20,722.9342447615172,831.5814355645462,838.1528363945134
2026-06-21,722.893811178345,831.787672983988,837.2029442843598
2026-06-22,722.7835785080231,831.6916049855478,837.1211617455363
2026-06-23,722.9677544721321,831.5655271503597,838.1653672965621
2026-06-24,723.1414043540371,831.6183392429461,838.5367083299476
2026-06-25,723.3584069312712,831.7046820899016,838.9431531098451
2026-06-26,723.2337152019427,831.797364862181,838.9022152345506
2026-06-27,723.2568233003167,831.6734190489633,839.4577153215614
2026-06-28,723.332570567241,831.6016297633104,840.55896581848
2026-06-29,723.5081454588028,831.5685479180507,840.7508734931189
2026-06-30,723.7755401822766,831.5790030608307,840.5506558042797
2026-07-01,723.8467787099034,831.6653848255193,841.2696350485234
2026-07-02,723.4647571808426,831.6454708270775,840.8434320773063
2026-07-03,723.7444464470474,831.334092845907,840.2973937130317
2026-07-04,723.686132242465,831.4187545808392,840.909480871348
2026-07-05,723.6073007600723,831.2964892370159,840.5309258681681
2026-07-06,723.5353891130939,831.1586650927035,838.6916749398762
2026-07-07,723.5389545214118,831.0431347458143,839.2179194683596
2026-07-08,723.4894148808071,830.886419488153,838.1392456231188
2026-07-09,723.0702182684424,830.7749757104758,838.8957095660626
2026-07-10,722.9217989925164,830.4140850003121,838.9326351771135
2026-07-11,723.0569960331744,830.1901515362927,838.7165067268689
2026-07-12,723.1468374303078,830.1052516620182,838.7665754200441
2026-07-13,723.1372803037184,830.0498604035827,839.0813180064471
2026-07-14,722.9839053894498,829.9147635650329,839.7693097963863
2026-07-15,722.983426974547,829.6387753500195,840.3248699271053
2026-07-16,723.2174472327495,829.5315620598295,839.2220185261564
2026-07-17,722.8580684177385,829.554622971047,839.12371239373
2026-07-18,722.7215695821,829.2144290516525,838.7368619759504
2026-07-19,722.7989910928119,829.0081317999527,839.1100783418249
2026-07-20,723.1011096215232,828.9436035188936,839.953322067058
2026-07-21,722.941799246563,828.9763602174974,839.8311815216365
2026-07-22,722.7147942198484,828.7096254804212,839.5067192277384
2026-07-23,722.7842836409695,828.4156924281342,840.4110855044306
2026-07-24,722.8453141669183,828.3034578350446,840.2421804013909
2026-07-25,722.9517459475436,828.2275590156545,840.4399487851604
2026-07-26,722.7185133549757,828.1608011143286,840.0310377555991
2026-07-27,722.6350919021711,827.8802110866419,840.9966152005223
2026-07-28,722.6063023162486,827.6545690125268,842.1576749017687
2026-07-29,722.6793144500031,827.4704202796495,842.1886955642057
2026-07-30,722.8461019206579,827.3325884259518,842.8603745142325
2026-07-31,722.818670126397,827.2734565985488,843.0192412355246
2026-08-01,722.339896651018,827.1107954560878,842.4904285233512
2026-08-02,722.5247338124573,826.6594293605824,841.8639681637206
2026-08-03,722.3734488345909,826.6068541378838,842.1516516448195
2026-08-04,722.2035094268193,826.3500946730356,841.6277669654794
2026-08-05,722.0423342477849,826.0805104845558,840.4499176950599
2026-08-06,721.9584620942338,825.8359449784153,841.0646112891079
2026-08-07,721.8232924726595,825.5529098297322,839.9165895529304
2026-08-08,721.3202551071394,825.3178513952665,840.5018808736073
2026-08-09,721.0897659912961,824.836040818664,840.2949132391267
2026-08-10,721.1446458314674,824.4938714321918,840.2025713897568
2026-08-11,721.1559044367191,824.2934083379995,840.1835311267188
