,East Metal Co.,Sakura Steelworks,Black Forest Steel Co.
2026-06-01,719.0383,830.4107,835.06226
2026-06-02,718.0647,830.7909,835.9373
2026-06-03,718.80975,830.7909,836.7691
2026-06-04,718.7266,830.2079,837.94586
2026-06-05,718.96533,830.1443,838.46686
2026-06-06,719.1956,831.2076,839.35004
2026-06-07,718.914,831.33606,839.3777
2026-06-08,718.75397,830.42596,839.0352
2026-06-09,718.14374,830.42596,838.5342
2026-06-10,718.6641,830.42596,838.65137
2026-06-11,718.72504,830.8509,837.95276
2026-06-12,717.9244,830.30597,838.13544
2026-06-13,718.4666,830.46155,838.4161
2026-06-14,719.26227,830.8137,839.4188
2026-06-15,719.3232,830.4109,839.70483
2026-06-16,717.89026,830.6351,840.1859
2026-06-17,718.1243,830.4926,841.49133
2026-06-18,718.1932,831.013,842.8375
2026-06-19,718.1243,830.90497,845.9672
2026-06-20,717.09247,830.7707,847.1107
2026-06-21,715.35333,830.6372,846.63324
2026-06-22,714.6451,830.4676,846.9381
2026-06-23,714.2625,830.4676,847.33344
2026-06-24,714.04285,831.02057,847.8018
2026-06-25,712.56854,831.1103,847.62354
2026-06-26,711.36816,831.0159,847.6161
2026-06-27,710.70996,831.24194,847.39996
2026-06-28,710.69037,832.1206,847.1353
2026-06-29,710.2824,834.97363,847.1573
2026-06-30,710.2408,835.92145,847.43353
2026-07-01,708.52856,838.42914,847.2279
2026-07-02,707.3338,839.6418,846.84406
2026-07-03,706.85565,839.4228,847.63043
2026-07-04,706.77527,839.7462,847.1631
2026-07-05,706.8198,839.84607,847.2977
2026-07-06,705.7627,841.36505,847.2545
2026-07-07,704.943,841.36505,847.40015
2026-07-08,703.76117,841.1214,847.06177
2026-07-09,701.90533,840.4029,847.21783
2026-07-10,701.44293,840.30225,847.24786
2026-07-11,700.8798,840.5261,847.238
2026-07-12,702.46716,840.35077,847.3504
2026-07-13,700.3882,840.3332,847.20374
2026-07-14,700.22217,837.1662,846.88525
2026-07-15,700.28467,836.19916,847.72406
2026-07-16,700.62146,835.9229,845.8836
2026-07-17,700.4764,836.1373,844.7215
2026-07-18,700.49713,835.0079,844.7914
2026-07-19,701.30676,832.79974,844.1716
2026-07-20,701.5158,831.86035,844.0316
2026-07-21,700.6159,831.66394,843.5598
2026-07-22,700.7615,831.61835,843.7975
2026-07-23,701.7526,831.6377,843.7279
2026-07-24,700.80756,831.6304,843.7279
2026-07-25,700.7492,831.48773,842.73224
2026-07-26,700.90137,830.2979,842.8015
2026-07-27,701.302,829.2402,842.7401
2026-07-28,701.16595,827.75366,843.15424
2026-07-29,701.4177,826.9245,843.15424
2026-07-30,700.4359,826.513,843.20953
2026-07-31,700.0457,825.4684,843.20953
2026-08-01,699.5992,825.8202,843.20953
2026-08-02,698.8915,825.2891,842.8831
2026-08-03,696.865,824.07025,842.7276
2026-08-04,695.55914,824.87683,842.9652
2026-08-05,694.0217,825.1596,842.5748
2026-08-06,693.9355,824.8006,839.82153
2026-08-07,693.0872,824.7945,838.5502
2026-08-08,693.82007,824.64233,836.43616
2026-08-09,693.90784,824.7286,835.83905
2026-08-10,693.6951,824.6215,835.6146
2026-08-11,693.41364,824.37305,835.98944
2026-08-12,693.77637,824.66943,835.7885
2026-08-13,692.8032,823.6318,835.9618
2026-08-14,692.246,824.1177,835.7167
2026-08-15,691.4016,822.5407,835.6438
2026-08-16,690.60895,822.1029,835.97473
2026-08-17,691.062,821.23694,836.30255
2026-08-18,691.0432,821.4855,836.2156
2026-08-19,691.0432,821.23254,836.3717
2026-08-20,691.0432,820.32764,836.35815
2026-08-21,690.87854,820.50055,835.7618
2026-08-22,690.9447,820.3854,835.8039
2026-08-23,690.6513,819.6981,835.6436
2026-08-24,690.68085,819.9097,835.83563
2026-08-25,690.611,819.89343,835.80707
2026-08-26,690.3641,819.89343,835.9067
2026-08-27,690.17395,819.6988,836.256
2026-08-28,690.734,820.26337,836.256
2026-08-29,691.23486,820.0855,836.2487
2026-08-30,691.501,820.0274,836.2704
2026-08-31,690.6854,820.9633,836.5243
2026-09-01,692.26776,820.8496,836.31256
2026-09-02,691.6725,820.96326,835.4087
2026-09-03,691.4412,820.6939,836.0961
2026-09-04,690.85944,821.2844,835.4954
2026-09-05,690.1404,821.27783,835.6894
2026-09-06,689.9029,820.67804,835.6894
2026-09-07,689.38086,819.8569,835.9829
2026-09-08,688.34045,820.03094,836.07996
2026-09-09,687.6274,820.6488,836.4798
2026-09-10,687.2173,820.7142,836.5578
2026-09-11,685.79175,821.7668,835.23846
2026-09-12,685.83575,822.25183,834.2014
2026-09-13,685.86304,821.8506,833.3462
2026-09-14,685.6389,822.168,835.6915
2026-09-15,685.6389,822.17676,837.38617
2026-09-16,685.24164,822.40765,838.61664
2026-09-17,683.6254,822.40765,838.51294
2026-09-18,682.3558,823.00696,839.25305
2026-09-19,680.8299,824.62775,840.0659
2026-09-20,679.78534,824.3111,839.9682
2026-09-21,679.7162,824.1322,840.0476
2026-09-22,680.0742,824.523,840.1016
2026-09-23,680.5374,824.3619,840.68176
2026-09-24,680.9396,824.23944,841.7283
2026-09-25,680.6112,824.5611,841.482
2026-09-26,680.6112,824.40063,841.95074
2026-09-27,680.37866,824.5163,841.766
2026-09-28,680.3432,824.3936,841.766
2026-09-29,680.54474,824.53436,841.08923
2026-09-30,680.45245,825.0669,842.06604
2026-10-01,681.1291,825.56226,841.61755
2026-10-02,680.6191,826.43585,840.62885
2026-10-03,680.6558,826.4496,838.1975
2026-10-04,680.52466,826.6868,837.49725
2026-10-05,680.36615,827.2335,837.1151
2026-10-06,680.3273,826.7095,836.679
2026-10-07,680.46246,827.47736,835.9084
2026-10-08,680.50134,826.86835,836.0446
2026-10-09,680.47327,826.60065,835.9489
2026-10-10,680.5167,826.77954,835.2727
2026-10-11,681.46545,826.1375,836.16113
2026-10-12,682.65924,824.14044,835.5861
2026-10-13,682.8024,823.84155,837.01196
2026-10-14,681.81854,824.34326,837.1389
2026-10-15,682.8384,823.6046,836.0644
2026-10-16,682.1628,823.7349,836.07556
2026-10-17,681.8338,823.5632,836.05304
2026-10-18,681.5122,824.0043,836.009
2026-10-19,681.06244,822.85114,834.9782
2026-10-20,680.12836,823.1054,834.6385
2026-10-21,679.1373,823.22534,834.8467
2026-10-22,676.68677,823.45776,834.6914
2026-10-23,675.8783,822.99634,834.6914
2026-10-24,672.79297,823.48395,834.9267
2026-10-25,670.9999,823.33075,835.0255
2026-10-26,670.78687,823.24646,835.3162
2026-10-27,670.53485,822.94604,835.2632
2026-10-28,670.3674,821.9265,833.76666
2026-10-29,670.1535,820.7788,832.9565
2026-10-30,669.82623,820.2729,830.0968
2026-10-31,670.25757,820.2499,828.1238
2026-11-01,670.50397,819.19794,827.99164
2026-11-02,670.4026,819.3286,827.97156
2026-11-03,670.14655,818.8574,828.5909
2026-11-04,670.4026,817.2556,828.0686
2026-11-05,670.4026,816.291,827.36334
2026-11-06,670.2985,814.8348,825.87744
2026-11-07,670.7405,814.1756,824.2837
2026-11-08,671.0423,813.34064,822.5518
2026-11-09,671.53815,812.8101,820.917
2026-11-10,671.53815,813.06506,820.4416
2026-11-11,671.7753,812.4766,818.70715
2026-11-12,670.444,811.1117,818.55804
2026-11-13,670.444,809.8789,818.5429
2026-11-14,671.00525,808.1246,818.2562
2026-11-15,670.6208,806.24384,817.84705
2026-11-16,670.6208,805.9766,817.1933
2026-11-17,670.6208,806.29803,816.27026
2026-11-18,670.4463,806.001,815.3171
2026-11-19,670.24054,806.38605,815.03516
2026-11-20,670.16583,806.01483,814.92236
2026-11-21,670.44617,806.21216,814.46643
2026-11-22,670.5461,806.6432,814.3497
2026-11-23,670.3533,806.8025,814.16956
2026-11-24,670.96155,806.6734,813.85645
2026-11-25,670.01794,807.47034,814.507
2026-11-26,669.34125,807.1836,814.0496
2026-11-27,669.4666,806.67395,814.05835
2026-11-28,669.35767,806.6938,814.2134
2026-11-29,669.35767,806.6938,813.9741
2026-11-30,669.35767,807.0,813.66925
