search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(0, 0, 0)","(0, 0, 0, 30)",811.5809556445737,811.896804151244
monthly_approximation,"(0, 0, 0)","(0, 0, 1, 30)",790.1475297665705,796.4136253960191
monthly_approximation,"(0, 0, 0)","(0, 1, 0, 30)",45.47326373120155,50.72084489768062
monthly_approximation,"(0, 0, 0)","(0, 1, 1, 30)",45.66656469143897,50.9001795595226
monthly_approximation,"(0, 0, 0)","(1, 0, 0, 30)",45.74290345403439,51.00110946457884
monthly_approximation,"(0, 0, 0)","(1, 0, 1, 30)",46.1733909072945,51.42757223579888
monthly_approximation,"(0, 0, 0)","(1, 1, 0, 30)",46.08302343555039,51.321039199427595
monthly_approximation,"(0, 0, 0)","(1, 1, 1, 30)",46.623592379870516,51.87760771638804
monthly_approximation,"(0, 0, 1)","(0, 0, 0, 30)",810.8545156688173,811.382787625288
monthly_approximation,"(0, 0, 1)","(0, 0, 1, 30)",789.5649037761405,796.0723290721841
monthly_approximation,"(0, 0, 1)","(0, 1, 0, 30)",45.58397213961782,50.83264260282861
monthly_approximation,"(0, 0, 1)","(0, 1, 1, 30)",45.79719108251799,51.033935101692116
monthly_approximation,"(0, 0, 1)","(1, 0, 0, 30)",45.986457972412026,51.25123775629624
monthly_approximation,"(0, 0, 1)","(1, 0, 1, 30)",46.6116622482531,51.90734249719228
monthly_approximation,"(0, 0, 1)","(1, 1, 0, 30)",46.075091409544875,51.311061400276785
monthly_approximation,"(0, 0, 1)","(1, 1, 1, 30)",46.623335473034764,51.87067791109408
monthly_approximation,"(0, 0, 2)","(0, 0, 0, 30)",810.1954204221443,810.9859268736067
monthly_approximation,"(0, 0, 2)","(0, 0, 1, 30)",789.2813231673932,795.9082919495153
monthly_approximation,"(0, 0, 2)","(0, 1, 0, 30)",45.58391170904686,50.832212837373326
monthly_approximation,"(0, 0, 2)","(0, 1, 1, 30)",45.69226462791618,50.93597146545017
monthly_approximation,"(0, 0, 2)","(1, 0, 0, 30)",46.17516702485874,51.44744661137125
monthly_approximation,"(0, 0, 2)","(1, 0, 1, 30)",46.64017160118526,51.91262000139019
monthly_approximation,"(0, 0, 2)","(1, 1, 0, 30)",45.76853811717308,51.01018240826277
monthly_approximation,"(0, 0, 2)","(1, 1, 1, 30)",46.34886956758376,51.59104422437261
monthly_approximation,"(0, 1, 0)","(0, 0, 0, 30)",49.856977644573654,54.758481040799246
monthly_approximation,"(0, 1, 0)","(0, 0, 1, 30)",49.92193153349382,54.82230417624432
