search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(0, 0, 0)","(0, 0, 0, 30)",694.5117593947674,695.0477288048315
monthly_approximation,"(0, 0, 0)","(0, 0, 1, 30)",676.5148071486553,682.3525274369945
monthly_approximation,"(0, 0, 0)","(0, 1, 0, 30)",51.52114351317829,57.829998757634016
monthly_approximation,"(0, 0, 0)","(0, 1, 1, 30)",51.395610000434296,57.688414899452695
monthly_approximation,"(0, 0, 0)","(1, 0, 0, 30)",53.31061762649713,59.727796282607976
monthly_approximation,"(0, 0, 0)","(1, 0, 1, 30)",53.53462584790549,59.95792450596615
monthly_approximation,"(0, 0, 0)","(1, 1, 0, 30)",51.44997548937565,57.7460302980391
monthly_approximation,"(0, 0, 0)","(1, 1, 1, 30)",51.824270178613965,58.14550523558998
monthly_approximation,"(0, 0, 1)","(0, 0, 0, 30)",693.8667652411542,694.6080411281453
monthly_approximation,"(0, 0, 1)","(0, 0, 1, 30)",676.0286628345084,682.0675285197677
monthly_approximation,"(0, 0, 1)","(0, 1, 0, 30)",51.514635351088714,57.82330876235767
monthly_approximation,"(0, 0, 1)","(0, 1, 1, 30)",51.43551819352954,57.732086031187315
monthly_approximation,"(0, 0, 1)","(1, 0, 0, 30)",53.47972757999952,59.90781283409122
monthly_approximation,"(0, 0, 1)","(1, 0, 1, 30)",52.65143115743419,59.01935651777627
monthly_approximation,"(0, 0, 1)","(1, 1, 0, 30)",51.464811051690816,57.76248152740766
monthly_approximation,"(0, 0, 1)","(1, 1, 1, 30)",51.763030309083696,58.07137542644181
monthly_approximation,"(0, 0, 2)","(0, 0, 0, 30)",693.1677012837918,694.218414090793
monthly_approximation,"(0, 0, 2)","(0, 0, 1, 30)",675.2850655402793,681.6676473505685
monthly_approximation,"(0, 0, 2)","(0, 1, 0, 30)",51.622240581068645,57.925623090221485
monthly_approximation,"(0, 0, 2)","(0, 1, 1, 30)",51.62242874851884,57.9253680201951
monthly_approximation,"(0, 0, 2)","(1, 0, 0, 30)",52.530727833184145,58.887785490817784
monthly_approximation,"(0, 0, 2)","(1, 0, 1, 30)",49.57079406140026,55.83235729714203
monthly_approximation,"(0, 0, 2)","(1, 1, 0, 30)",51.62248252968479,57.92600633120742
monthly_approximation,"(0, 0, 2)","(1, 1, 1, 30)",51.62289259286858,57.926483507252804
monthly_approximation,"(0, 1, 0)","(0, 0, 0, 30)",54.49360790600768,60.901102549324946
monthly_approximation,"(0, 1, 0)","(0, 0, 1, 30)",54.46633450772033,60.87556209439219
monthly_approximation,"(0, 1, 0)","(0, 1, 0, 30)",81.95835006990133,91.02938618282292
monthly_approximation,"(0, 1, 0)","(0, 1, 1, 30)",58.776846261596575,65.40645442302548
monthly_approximation,"(0, 1, 0)","(1, 0, 0, 30)",54.4659074073229,60.875178130167065
monthly_approximation,"(0, 1, 0)","(1, 0, 1, 30)",54.46570604997394,60.875040192866045
monthly_approximation,"(0, 1, 0)","(1, 1, 0, 30)",67.46914980477209,75.05647472595435
monthly_approximation,"(0, 1, 0)","(1, 1, 1, 30)",58.788481622933965,65.41891263341063
monthly_approximation,"(0, 1, 1)","(0, 0, 0, 30)",54.43642284485339,60.84792476110626
monthly_approximation,"(0, 1, 1)","(0, 0, 1, 30)",54.407927722274536,60.82126707230011
monthly_approximation,"(0, 1, 1)","(0, 1, 0, 30)",82.2669346211325,91.37140718877328
monthly_approximation,"(0, 1, 1)","(0, 1, 1, 30)",59.21137845221281,65.87986893661812
monthly_approximation,"(0, 1, 1)","(1, 0, 0, 30)",54.40899759096267,60.822279364830386
monthly_approximation,"(0, 1, 1)","(1, 0, 1, 30)",54.407609986088886,60.82100188023337
monthly_approximation,"(0, 1, 1)","(1, 1, 0, 30)",67.33478890842233,74.91086649901432
monthly_approximation,"(0, 1, 1)","(1, 1, 1, 30)",59.2349483035165,65.90509099350453
monthly_approximation,"(0, 1, 2)","(0, 0, 0, 30)",54.4515741984002,60.86208489914853
monthly_approximation,"(0, 1, 2)","(0, 0, 1, 30)",54.4208942676022,60.83338491813629
monthly_approximation,"(0, 1, 2)","(0, 1, 0, 30)",82.5208671596095,91.65298796809425
monthly_approximation,"(0, 1, 2)","(0, 1, 1, 30)",59.43243855363958,66.11341283099486
monthly_approximation,"(0, 1, 2)","(1, 0, 0, 30)",54.419377315509344,60.83197967623827
monthly_approximation,"(0, 1, 2)","(1, 0, 1, 30)",54.4187397164755,60.8315067445734
monthly_approximation,"(0, 1, 2)","(1, 1, 0, 30)",67.0436945325756,74.59527549400461
monthly_approximation,"(0, 1, 2)","(1, 1, 1, 30)",59.449578579798334,66.13178157407079
monthly_approximation,"(1, 0, 0)","(0, 0, 0, 30)",55.43567175103773,61.89643299601501
monthly_approximation,"(1, 0, 0)","(0, 0, 1, 30)",55.13880586787027,61.555453371080766
monthly_approximation,"(1, 0, 0)","(0, 1, 0, 30)",56.55062835336048,62.90706543343521
monthly_approximation,"(1, 0, 0)","(0, 1, 1, 30)",37.81943684178375,43.62179212062145
monthly_approximation,"(1, 0, 0)","(1, 0, 0, 30)",57.55960674019805,64.15367732359256
monthly_approximation,"(1, 0, 0)","(1, 0, 1, 30)",58.39733671976773,65.05703294001367
monthly_approximation,"(1, 0, 0)","(1, 1, 0, 30)",56.3611293257703,62.8929274656445
monthly_approximation,"(1, 0, 0)","(1, 1, 1, 30)",37.82458682321589,43.62700947920932
monthly_approximation,"(1, 0, 1)","(0, 0, 0, 30)",55.61094319629789,62.08977303361132
monthly_approximation,"(1, 0, 1)","(0, 0, 1, 30)",58.5616823472097,65.20395148990296
monthly_approximation,"(1, 0, 1)","(0, 1, 0, 30)",56.12785231243394,62.46414975593932
monthly_approximation,"(1, 0, 1)","(0, 1, 1, 30)",36.758057545730125,42.52725878048519
monthly_approximation,"(1, 0, 1)","(1, 0, 0, 30)",57.52446786752704,64.12487521606953
monthly_approximation,"(1, 0, 1)","(1, 0, 1, 30)",58.444148979594345,65.115409220045
monthly_approximation,"(1, 0, 1)","(1, 1, 0, 30)",55.94145625021421,62.44858638358631
monthly_approximation,"(1, 0, 1)","(1, 1, 1, 30)",36.75657904113316,42.52575440464181
monthly_approximation,"(1, 0, 2)","(0, 0, 0, 30)",55.912255519149554,62.406977899769835
monthly_approximation,"(1, 0, 2)","(0, 0, 1, 30)",56.59609593133474,63.10681808260415
monthly_approximation,"(1, 0, 2)","(0, 1, 0, 30)",56.0115938390906,62.34126464434181
monthly_approximation,"(1, 0, 2)","(0, 1, 1, 30)",35.9776438139516,41.7246632761846
monthly_approximation,"(1, 0, 2)","(1, 0, 0, 30)",56.9420581749472,63.50206552895226
monthly_approximation,"(1, 0, 2)","(1, 0, 1, 30)",58.94813944346115,65.65106303639898
monthly_approximation,"(1, 0, 2)","(1, 1, 0, 30)",55.544232774491135,62.03199905488679
monthly_approximation,"(1, 0, 2)","(1, 1, 1, 30)",36.000916543715,41.74836058421313
monthly_approximation,"(1, 1, 0)","(0, 0, 0, 30)",54.43480370312941,60.84642451003372
monthly_approximation,"(1, 1, 0)","(0, 0, 1, 30)",54.40671641434534,60.82014391214046
monthly_approximation,"(1, 1, 0)","(0, 1, 0, 30)",82.31684927938103,91.42675134992794
monthly_approximation,"(1, 1, 0)","(0, 1, 1, 30)",59.24088656686569,65.91159331202535
monthly_approximation,"(1, 1, 0)","(1, 0, 0, 30)",54.405391301105816,60.8189212925205
monthly_approximation,"(1, 1, 0)","(1, 0, 1, 30)",54.405795738734994,60.81936337567153
monthly_approximation,"(1, 1, 0)","(1, 1, 0, 30)",67.31331380618921,74.88759078920812
monthly_approximation,"(1, 1, 0)","(1, 1, 1, 30)",59.24943270887121,65.92074684597647
monthly_approximation,"(1, 1, 1)","(0, 0, 0, 30)",57.67465084441093,63.932798962823824
monthly_approximation,"(1, 1, 1)","(0, 0, 1, 30)",57.71400815853643,63.97188675030716
monthly_approximation,"(1, 1, 1)","(0, 1, 0, 30)",82.63178778401804,91.77607326473864
monthly_approximation,"(1, 1, 1)","(0, 1, 1, 30)",63.494652859820405,70.06608770325113
