search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(0, 0, 0)","(0, 0, 0, 30)",802.8927123560077,803.166333494408
monthly_approximation,"(0, 0, 0)","(0, 0, 1, 30)",781.3642555943362,787.5926283481112
monthly_approximation,"(0, 0, 0)","(0, 1, 0, 30)",42.07657496879846,46.94640826443923
monthly_approximation,"(0, 0, 0)","(0, 1, 1, 30)",41.90744989217058,46.78112631868939
monthly_approximation,"(0, 0, 0)","(1, 0, 0, 30)",41.098444716979785,45.928465855409605
monthly_approximation,"(0, 0, 0)","(1, 0, 1, 30)",41.20114104998849,46.04350667935483
monthly_approximation,"(0, 0, 0)","(1, 1, 0, 30)",42.262128395163195,47.1645190468971
monthly_approximation,"(0, 0, 0)","(1, 1, 1, 30)",42.48741854781298,47.39524034910051
monthly_approximation,"(0, 0, 1)","(0, 0, 0, 30)",802.1666092307112,802.6512404030369
monthly_approximation,"(0, 0, 1)","(0, 0, 1, 30)",780.7205232663454,787.214217797702
monthly_approximation,"(0, 0, 1)","(0, 1, 0, 30)",42.17210556903873,47.04042835649582
monthly_approximation,"(0, 0, 1)","(0, 1, 1, 30)",42.08716202685769,46.955247014197965
monthly_approximation,"(0, 0, 1)","(1, 0, 0, 30)",41.30630324762689,46.13882085082877
monthly_approximation,"(0, 0, 1)","(1, 0, 1, 30)",41.507823673668085,46.350203427069836
monthly_approximation,"(0, 0, 1)","(1, 1, 0, 30)",42.367055198110656,47.24893438396482
monthly_approximation,"(0, 0, 1)","(1, 1, 1, 30)",42.76034956655327,47.64857594030748
monthly_approximation,"(0, 0, 2)","(0, 0, 0, 30)",801.4447269063877,802.223134743316
monthly_approximation,"(0, 0, 2)","(0, 0, 1, 30)",780.3532455052808,786.9766786643715
monthly_approximation,"(0, 0, 2)","(0, 1, 0, 30)",42.17114747596185,47.03954724179447
monthly_approximation,"(0, 0, 2)","(0, 1, 1, 30)",42.173157222746596,47.04085874036552
monthly_approximation,"(0, 0, 2)","(1, 0, 0, 30)",41.4446610303775,46.28271054002382
monthly_approximation,"(0, 0, 2)","(1, 0, 1, 30)",41.21563877263824,46.044901068792385
monthly_approximation,"(0, 0, 2)","(1, 1, 0, 30)",42.27761602692833,47.146173676269285
monthly_approximation,"(0, 0, 2)","(1, 1, 1, 30)",42.95661915371746,47.82223613417693
monthly_approximation,"(0, 1, 0)","(0, 0, 0, 30)",45.97955065600771,50.53286834320829
monthly_approximation,"(0, 1, 0)","(0, 0, 1, 30)",46.00099880593576,50.55357291699491
monthly_approximation,"(0, 1, 0)","(0, 1, 0, 30)",75.25562144252072,82.92872828413523
