time,Congo Cobalt,Auric Cobalt,Northern Cobalt Corporation
01/01/2017,2574,2758.44,3004.55
02/01/2017,2579.329886,2750.9904,2971.393358
03/01/2017,2578.385619,2752.358802,2980.230069
04/01/2017,2582.702674,2749.253831,2982.048807
05/01/2017,2577.774744,2753.616272,2985.278936
06/01/2017,2578.454174,2749.404189,2982.168234
07/01/2017,2586.623518,2749.935691,2984.706555
08/01/2017,2583.965576,2758.506968,2985.75882
09/01/2017,2586.654214,2755.826447,2992.189662
10/01/2017,2585.265533,2760.18804,2997.102455
11/01/2017,2588.135048,2763.091507,2994.712835
12/01/2017,2580.663384,2763.692683,3004.749942
13/01/2017,2582.543088,2757.095751,3000.276827
14/01/2017,2581.437526,2758.437404,3002.693792
15/01/2017,2584.44363,2758.238966,3000.370726
16/01/2017,2586.654805,2759.82244,3007.427212
17/01/2017,2581.522431,2757.714114,3012.20277
18/01/2017,2577.366885,2755.47655,3011.328094
19/01/2017,2576.302068,2752.242499,3006.905934
20/01/2017,2580.295118,2745.911818,3001.492572
21/01/2017,2585.823403,2745.474244,3000.178694
22/01/2017,2584.696495,2744.41515,2997.738613
23/01/2017,2588.650786,2745.053232,3003.377459
24/01/2017,2592.205689,2748.981706,3008.098047
25/01/2017,2593.669898,2754.202371,3012.921822
26/01/2017,2595.169723,2757.233511,3020.553367
27/01/2017,2592.988537,2758.928955,3018.601645
28/01/2017,2596.002821,2754.130622,3020.694149
29/01/2017,2593.820129,2753.169459,3026.987301
30/01/2017,2594.753415,2750.428521,3018.391486
31/01/2017,2597.320089,2755.372988,3019.497357
01/02/2017,2596.613981,2755.708094,3021.839918
02/02/2017,2599.510613,2754.69614,3024.039759
03/02/2017,2600.027466,2755.978814,3031.632754
04/02/2017,2601.515889,2757.363076,3036.781788
05/02/2017,2605.84985,2758.499855,3032.381167
06/02/2017,2613.934803,2760.150542,3038.818214
07/02/2017,2614.145404,2763.898336,3044.631118
08/02/2017,2616.322859,2766.25143,3045.175521
09/02/2017,2623.235412,2767.848925,3044.141722
10/02/2017,2621.767346,2770.083863,3046.768924
11/02/2017,2615.86571,2770.29855,3049.25374
12/02/2017,2616.440191,2766.594644,3050.868487
13/02/2017,2613.566765,2763.670467,3050.900642
14/02/2017,2612.594132,2762.021878,3049.361711
15/02/2017,2610.450441,2759.605983,3048.209984
16/02/2017,2615.837525,2759.866849,3048.492634
17/02/2017,2618.865533,2762.336779,3050.057011
18/02/2017,2619.739915,2769.347656,3055.440223
19/02/2017,2620.476229,2771.250289,3052.752002
20/02/2017,2614.703026,2772.917003,3048.739634
21/02/2017,2609.834826,2761.617738,3044.171322
22/02/2017,2604.004809,2762.277453,3038.119386
23/02/2017,2604.382086,2758.321826,3035.879927
24/02/2017,2605.08188,2760.228975,3030.887696
25/02/2017,2599.636792,2757.807907,3037.450997
26/02/2017,2592.085913,2752.248698,3028.245012
27/02/2017,2589.705903,2747.874042,3021.64059
28/02/2017,2591.230208,2748.753927,3019.47859
01/03/2017,2585.118381,2747.501995,3019.685814
02/03/2017,2579.93721,2745.665557,3008.726527
03/03/2017,2564.091447,2742.395236,2999.215967
04/03/2017,2568.979101,2733.243272,2986.094686
05/03/2017,2567.056432,2733.434453,2991.284028
06/03/2017,2562.501933,2729.119131,2994.259971
07/03/2017,2561.460246,2722.390188,2990.358753
08/03/2017,2568.928191,2718.725963,2987.241002
09/03/2017,2562.958181,2725.659429,2990.611464
10/03/2017,2563.779152,2720.207997,2987.909959
11/03/2017,2565.020586,2723.471225,2988.47979
12/03/2017,2567.342082,2722.820323,2996.807253
13/03/2017,2566.307561,2724.059713,2997.753303
14/03/2017,2565.467024,2723.032219,2993.919863
15/03/2017,2563.882184,2723.369517,2996.012068
16/03/2017,2561.656142,2724.743186,2992.748881
17/03/2017,2558.950481,2722.065974,2983.871989
18/03/2017,2558.229605,2723.220478,2978.949509
19/03/2017,2557.882284,2722.166301,2976.915609
20/03/2017,2558.070924,2721.853091,2976.418134
21/03/2017,2554.571907,2726.467425,2975.632169
22/03/2017,2559.615596,2726.045352,2973.51734
23/03/2017,2563.421705,2731.614816,2967.725587
24/03/2017,2571.059046,2737.450597,2974.040712
25/03/2017,2573.268806,2743.833702,2986.201476
26/03/2017,2570.406146,2747.92999,2990.215829
27/03/2017,2578.674997,2745.522284,2990.968298
28/03/2017,2579.194413,2749.782721,3005.37064
29/03/2017,2582.956052,2751.980339,3004.136527
30/03/2017,2579.075458,2752.409879,3001.683334
31/03/2017,2572.787517,2748.854131,3003.338148
01/04/2017,2577.816046,2742.759986,2997.994228
02/04/2017,2575.426962,2742.102469,3000.571562
03/04/2017,2572.835542,2740.990326,2992.349412
04/04/2017,2569.402368,2745.234742,2988.173095
05/04/2017,2566.547957,2741.291657,2980.899838
06/04/2017,2568.480447,2739.881702,2977.343407
07/04/2017,2564.681438,2734.806762,2976.901067
08/04/2017,2564.670405,2728.443225,2973.903405
09/04/2017,2559.08442,2723.168264,2968.487678
10/04/2017,2555.423968,2721.225177,2960.541833
11/04/2017,2556.132816,2719.186056,2960.012785
12/04/2017,2552.673172,2721.184963,2962.78762
13/04/2017,2550.504757,2721.998578,2960.397169
14/04/2017,2542.800927,2716.658275,2954.711965
15/04/2017,2539.147212,2709.235019,2942.981395
16/04/2017,2538.864572,2706.14207,2936.866357
17/04/2017,2536.975887,2706.891507,2937.447438
18/04/2017,2532.985392,2702.280555,2931.711563
19/04/2017,2535.421192,2703.1105,2937.880405
20/04/2017,2530.134559,2702.641114,2942.995548
21/04/2017,2536.830256,2697.227087,2933.895746
22/04/2017,2541.606788,2706.3446,2940.341376
23/04/2017,2540.854851,2709.658335,2945.587102
24/04/2017,2535.5053,2708.954507,2948.683223
25/04/2017,2536.904199,2705.234868,2943.469806
26/04/2017,2534.123861,2704.780984,2944.861629
27/04/2017,2531.903818,2702.217757,2948.600641
28/04/2017,2533.498849,2702.649841,2945.298252
29/04/2017,2526.810713,2700.063418,2945.284073
30/04/2017,2531.080161,2696.67743,2936.059214
01/05/2017,2532.0754,2700.339943,2941.952487
02/05/2017,2533.99542,2701.565448,2940.811672
03/05/2017,2539.158288,2704.217054,2940.682637
04/05/2017,2535.960214,2706.730862,2938.76319
05/05/2017,2533.511155,2704.488485,2934.954986
06/05/2017,2529.300104,2701.591341,2929.837339
07/05/2017,2533.16928,2696.830518,2921.568198
08/05/2017,2533.611385,2696.466123,2922.609992
09/05/2017,2530.072301,2694.042412,2921.529923
10/05/2017,2524.242749,2693.056197,2918.811157
11/05/2017,2527.505131,2685.352813,2917.236542
12/05/2017,2529.822554,2688.556584,2914.794012
13/05/2017,2522.039838,2689.022538,2923.155221
14/05/2017,2518.938336,2683.556809,2920.476231
15/05/2017,2518.774262,2682.01478,2919.004523
16/05/2017,2522.593333,2681.654656,2916.937064
17/05/2017,2511.904999,2681.940757,2918.260641
18/05/2017,2515.162156,2676.626936,2907.296697
19/05/2017,2513.263256,2678.980734,2914.259693
20/05/2017,2516.151654,2677.466749,2911.495008
21/05/2017,2513.737506,2677.460319,2914.908816
22/05/2017,2508.560012,2677.658082,2906.438739
23/05/2017,2508.936515,2672.536096,2903.8722
24/05/2017,2511.059618,2668.753786,2910.252392
25/05/2017,2508.879575,2672.55789,2908.887912
26/05/2017,2505.050639,2671.108486,2906.792586
27/05/2017,2509.384344,2672.557129,2900.005495
28/05/2017,2507.964103,2673.531858,2907.455205
29/05/2017,2507.625261,2675.148386,2898.148735
30/05/2017,2502.025854,2674.409783,2898.860299
31/05/2017,2496.130361,2667.82433,2894.435043
01/06/2017,2486.947014,2665.40227,2887.332029
02/06/2017,2484.283045,2662.697187,2877.828769
03/06/2017,2482.529663,2659.429168,2871.755341
04/06/2017,2474.8901,2656.258111,2866.904281
05/06/2017,2468.926335,2656.235546,2858.989652
06/06/2017,2459.578206,2653.666744,2858.657818
07/06/2017,2463.8754,2642.712197,2850.168747
08/06/2017,2470.089362,2649.388741,2848.752281
09/06/2017,2466.348581,2650.255492,2850.606345
10/06/2017,2460.878343,2646.659218,2844.222958
11/06/2017,2463.895328,2645.268678,2837.973857
12/06/2017,2463.889342,2647.601034,2844.405592
13/06/2017,2454.528593,2647.521184,2844.064195
14/06/2017,2443.661263,2640.689411,2836.332073
15/06/2017,2441.820198,2633.078836,2822.173875
16/06/2017,2433.844649,2631.447853,2828.11073
17/06/2017,2429.876024,2624.193131,2820.719139
18/06/2017,2427.90595,2619.714539,2816.864546
19/06/2017,2434.835341,2619.50499,2818.940598
20/06/2017,2439.604451,2623.460013,2829.101714
21/06/2017,2437.778065,2621.95838,2835.177251
22/06/2017,2436.207841,2622.700368,2829.661383
23/06/2017,2433.898369,2621.917212,2831.938844
24/06/2017,2431.06857,2618.623488,2832.065754
25/06/2017,2428.612843,2614.948526,2837.214273
26/06/2017,2421.334014,2612.53307,2836.722948
27/06/2017,2406.59038,2603.264521,2827.332879
28/06/2017,2402.730026,2592.490117,2826.234641
29/06/2017,2399.590728,2588.941837,2825.18404
30/06/2017,2400.832538,2588.772017,2823.833103
01/07/2017,2402.976775,2586.344577,2818.750478
02/07/2017,2408.043299,2586.712619,2829.858471
03/07/2017,2408.94537,2590.601457,2839.386572
04/07/2017,2404.685928,2588.954898,2844.922305
05/07/2017,2402.179759,2584.999478,2840.744988
06/07/2017,2398.973449,2586.586906,2839.682556
07/07/2017,2399.2265,2582.582578,2842.743852
08/07/2017,2407.408199,2582.604744,2842.574576
09/07/2017,2402.193992,2590.365165,2846.658544
10/07/2017,2402.304507,2589.082737,2840.496335
11/07/2017,2407.587731,2590.111564,2838.838354
12/07/2017,2415.034386,2591.453134,2841.210815
13/07/2017,2414.908004,2596.877772,2849.689977
14/07/2017,2421.018927,2597.816969,2851.68839
15/07/2017,2421.405067,2603.600391,2849.247048
