time,SolLith,LitioAndes,LithiumOz
01/01/2017,13635,14753,15485
02/01/2017,13625.10693,14755.05395,15477.53943
03/01/2017,13613.87877,14746.33489,15473.99368
04/01/2017,13625.07358,14737.19593,15462.39732
05/01/2017,13615.21841,14742.82548,15468.98811
06/01/2017,13618.74231,14734.14415,15456.17877
07/01/2017,13622.77677,14733.63525,15456.40677
08/01/2017,13620.16651,14734.88427,15452.48517
09/01/2017,13611.5578,14731.50367,15447.89691
10/01/2017,13615.27355,14727.16995,15440.8255
11/01/2017,13610.00772,14727.42496,15441.17378
12/01/2017,13603.83887,14718.42072,15439.9527
13/01/2017,13623.38206,14710.35207,15435.65768
14/01/2017,13618.72631,14726.98021,15446.89509
15/01/2017,13629.38893,14720.33765,15442.05221
16/01/2017,13631.07326,14726.66941,15454.15758
17/01/2017,13638.82893,14729.27406,15454.38948
18/01/2017,13634.53459,14731.95303,15464.13019
19/01/2017,13634.51005,14727.31383,15463.80985
20/01/2017,13642.20888,14723.8154,15467.55734
21/01/2017,13632.69322,14732.46028,15474.46363
22/01/2017,13633.20138,14725.41257,15468.85088
23/01/2017,13644.56976,14721.93578,15466.20938
24/01/2017,13629.08316,14737.46337,15473.31783
25/01/2017,13626.24462,14725.00287,15460.91157
26/01/2017,13625.82702,14722.30383,15460.3168
27/01/2017,13606.74861,14718.67755,15461.18294
28/01/2017,13606.74168,14705.8295,15447.96085
29/01/2017,13601.56607,14706.12177,15446.86714
30/01/2017,13596.66072,14700.35666,15442.94022
31/01/2017,13594.37788,14696.14227,15437.91135
01/02/2017,13594.3726,14697.76127,15436.08259
02/02/2017,13579.66289,14695.78015,15430.33927
03/02/2017,13583.51148,14687.65779,15420.38609
04/02/2017,13591.10423,14693.99821,15419.04992
05/02/2017,13599.31646,14701.1422,15428.93725
06/02/2017,13588.57782,14711.79048,15430.94751
07/02/2017,13602.928,14708.06513,15423.47149
08/02/2017,13604.12439,14713.44434,15433.56826
09/02/2017,13604.42179,14713.2365,15435.46102
10/02/2017,13613.76596,14715.50783,15438.75102
11/02/2017,13618.66018,14719.79191,15445.05166
12/02/2017,13613.25401,14725.00917,15452.03967
13/02/2017,13605.01356,14719.86767,15440.66082
14/02/2017,13605.93145,14712.57716,15436.14951
15/02/2017,13597.91875,14711.64233,15438.3896
16/02/2017,13597.74918,14702.99208,15432.7252
17/02/2017,13591.28376,14695.84306,15432.61192
18/02/2017,13598.06105,14695.0762,15426.13541
19/02/2017,13592.98508,14703.15097,15431.12533
20/02/2017,13588.87357,14698.91491,15430.23711
21/02/2017,13586.97174,14693.78171,15426.23879
22/02/2017,13589.97691,14689.2135,15425.7163
23/02/2017,13587.65284,14686.02429,15427.20918
24/02/2017,13602.89262,14685.93985,15427.1273
25/02/2017,13600.01465,14692.43571,15443.10942
26/02/2017,13592.10187,14692.83194,15436.23596
27/02/2017,13597.84427,14688.03775,15431.98197
28/02/2017,13598.05335,14694.7549,15434.71627
01/03/2017,13593.36236,14698.59732,15428.90918
02/03/2017,13593.60878,14688.74046,15429.54431
03/03/2017,13602.28411,14690.5045,15425.19981
04/03/2017,13593.14136,14695.95547,15428.62929
05/03/2017,13595.64599,14692.25939,15422.14596
06/03/2017,13585.50733,14689.22156,15425.89675
07/03/2017,13591.7963,14686.18605,15421.64518
08/03/2017,13594.66995,14688.64874,15425.83708
09/03/2017,13613.0104,14689.59734,15431.41923
10/03/2017,13604.40988,14700.78187,15441.20744
11/03/2017,13607.71335,14689.24862,15436.61648
12/03/2017,13601.80328,14692.32444,15438.22561
13/03/2017,13624.54089,14689.30679,15432.63257
14/03/2017,13627.55851,14706.30323,15447.69501
15/03/2017,13637.29723,14703.58482,15449.89152
16/03/2017,13643.83595,14708.34276,15455.92312
17/03/2017,13657.11178,14716.5011,15464.83149
18/03/2017,13647.92865,14726.02837,15472.46691
19/03/2017,13627.53089,14725.01672,15468.21453
20/03/2017,13635.75066,14708.27355,15457.57314
21/03/2017,13636.42321,14717.97826,15459.63357
22/03/2017,13627.53428,14720.47696,15457.85199
