time,Rising Sun Aluminum,Fjordlight Aluminum,RhineMetal Aluminum
01/01/2017,1603.57,1843.36,1735.83
02/01/2017,1602.561784,1854.8357,1729.828616
03/01/2017,1600.953156,1850.962646,1729.632717
04/01/2017,1601.200498,1853.318032,1729.063543
05/01/2017,1603.429495,1854.761617,1729.196909
06/01/2017,1603.00939,1853.195349,1732.026231
07/01/2017,1604.983798,1855.38105,1730.024285
08/01/2017,1605.244428,1855.174483,1729.251962
09/01/2017,1605.11151,1857.015928,1727.101928
10/01/2017,1608.632579,1859.469582,1728.208678
11/01/2017,1607.564188,1864.091098,1728.582656
12/01/2017,1605.829551,1861.155577,1731.357956
13/01/2017,1609.337445,1861.505074,1731.687239
14/01/2017,1610.280932,1863.007009,1733.998574
15/01/2017,1614.43703,1863.63622,1735.362819
16/01/2017,1614.540833,1863.487098,1744.771743
17/01/2017,1615.451976,1862.183645,1744.790006
18/01/2017,1613.18015,1863.100065,1746.405847
19/01/2017,1613.282441,1862.770935,1744.041211
20/01/2017,1618.066398,1862.255541,1747.488524
21/01/2017,1620.834713,1864.237224,1748.257983
22/01/2017,1623.387784,1865.194516,1748.239701
23/01/2017,1620.975566,1868.330405,1752.964631
24/01/2017,1619.584069,1866.870735,1751.983047
25/01/2017,1620.818908,1867.726793,1751.876862
26/01/2017,1629.510944,1868.246849,1754.190225
27/01/2017,1628.773012,1873.647687,1759.715811
28/01/2017,1630.479203,1874.148351,1758.850606
29/01/2017,1632.188407,1874.59612,1761.0225
30/01/2017,1636.905606,1876.332004,1763.532103
31/01/2017,1637.883564,1881.280906,1769.717551
01/02/2017,1636.675499,1886.433432,1773.554318
02/02/2017,1639.144368,1886.033389,1773.40832
03/02/2017,1640.128012,1891.079276,1775.657975
04/02/2017,1640.776473,1893.529072,1772.735355
05/02/2017,1642.9599,1894.674675,1771.122417
06/02/2017,1643.256618,1898.182028,1770.733081
07/02/2017,1644.934728,1900.458575,1768.556176
08/02/2017,1642.61809,1903.047709,1770.964752
09/02/2017,1646.648956,1900.990019,1770.144708
10/02/2017,1648.399235,1905.048999,1773.281857
11/02/2017,1650.506399,1907.923755,1776.255033
12/02/2017,1652.998853,1911.318584,1776.887093
13/02/2017,1655.793711,1911.074247,1779.931017
14/02/2017,1657.303332,1909.357703,1781.77556
15/02/2017,1660.30144,1910.476438,1781.273772
16/02/2017,1660.636422,1910.842982,1785.170194
17/02/2017,1657.79426,1909.396865,1784.625952
18/02/2017,1662.59386,1906.195076,1785.622247
19/02/2017,1660.706839,1906.473016,1788.910989
20/02/2017,1661.557571,1908.270755,1789.211252
21/02/2017,1666.591723,1910.017371,1791.283743
22/02/2017,1670.500001,1917.285454,1792.313512
23/02/2017,1672.746965,1920.724666,1793.545147
24/02/2017,1672.685279,1924.967765,1797.486798
25/02/2017,1675.432895,1924.087245,1798.094811
26/02/2017,1676.228655,1924.433131,1800.580698
27/02/2017,1675.880737,1927.252797,1800.601464
28/02/2017,1675.856207,1929.009025,1799.176476
01/03/2017,1674.784335,1929.47241,1799.915568
02/03/2017,1674.943739,1930.967128,1798.401805
03/03/2017,1675.222222,1929.8875,1802.309192
04/03/2017,1674.38856,1927.201163,1802.059092
05/03/2017,1673.432048,1926.099487,1801.151806
06/03/2017,1676.38321,1925.16001,1802.122327
07/03/2017,1679.249781,1926.2119,1804.885282
08/03/2017,1679.8953,1926.610248,1806.688065
09/03/2017,1679.992592,1927.513219,1803.370408
10/03/2017,1684.662021,1926.128985,1801.608287
11/03/2017,1681.076493,1931.52148,1804.247419
12/03/2017,1682.626045,1929.138268,1800.73918
13/03/2017,1682.25008,1928.108054,1804.614884
14/03/2017,1682.281447,1925.592938,1806.526494
15/03/2017,1687.184453,1926.125378,1809.480855
16/03/2017,1684.38289,1929.661131,1812.165802
17/03/2017,1689.652052,1926.213783,1808.667139
18/03/2017,1690.51002,1927.092222,1813.816475
19/03/2017,1690.408089,1926.24265,1814.565254
20/03/2017,1695.646382,1928.039665,1813.269599
21/03/2017,1691.964174,1931.840609,1813.348343
22/03/2017,1693.799457,1932.20225,1815.444057
23/03/2017,1698.023605,1935.227145,1819.086694
24/03/2017,1701.171027,1940.637254,1820.343386
25/03/2017,1703.217657,1940.556933,1824.268408
26/03/2017,1708.933478,1940.77252,1825.955056
27/03/2017,1708.434558,1944.185978,1827.782162
28/03/2017,1708.512977,1944.341813,1829.314516
29/03/2017,1709.584439,1942.267677,1829.425565
30/03/2017,1706.547874,1939.668772,1832.999729
31/03/2017,1707.255979,1940.176723,1834.580357
01/04/2017,1708.951657,1939.084325,1835.864545
02/04/2017,1712.081605,1937.397512,1841.982162
03/04/2017,1714.547033,1940.125081,1842.110626
04/04/2017,1716.101596,1942.974565,1847.672371
05/04/2017,1717.199581,1944.072609,1847.831347
06/04/2017,1719.777393,1944.669807,1846.674027
07/04/2017,1719.097672,1946.222894,1846.904069
08/04/2017,1721.428167,1946.640943,1845.277956
09/04/2017,1722.337414,1947.067491,1847.564831
10/04/2017,1723.223343,1950.994814,1847.922336
11/04/2017,1725.587516,1951.514768,1850.57976
12/04/2017,1729.591339,1953.006481,1850.434336
13/04/2017,1732.190134,1950.570464,1850.260524
14/04/2017,1734.409099,1954.186742,1850.43006
15/04/2017,1739.919717,1959.003361,1854.387143
16/04/2017,1744.29486,1959.598617,1855.614467
17/04/2017,1747.477039,1966.18566,1860.025541
18/04/2017,1750.272316,1965.754291,1861.384195
19/04/2017,1754.69357,1969.954977,1858.398676
20/04/2017,1758.447364,1975.052265,1860.81126
21/04/2017,1763.315534,1979.470786,1863.919427
22/04/2017,1764.694576,1986.727259,1865.576529
23/04/2017,1762.833312,1983.197853,1867.724309
24/04/2017,1762.220982,1984.454558,1863.425701
25/04/2017,1758.287413,1985.080507,1861.50902
26/04/2017,1756.048506,1977.557395,1856.931186
27/04/2017,1761.224343,1974.558516,1853.360272
28/04/2017,1764.854894,1978.017606,1860.212921
29/04/2017,1763.684182,1982.744245,1863.796627
30/04/2017,1765.318233,1978.947475,1863.292187
01/05/2017,1768.625042,1981.795811,1862.017509
02/05/2017,1771.565158,1984.327246,1864.247614
03/05/2017,1771.46786,1985.350083,1867.195078
04/05/2017,1776.047575,1987.475384,1868.879054
05/05/2017,1779.767231,1991.08447,1869.0394
06/05/2017,1780.249618,1998.351849,1872.062448
07/05/2017,1782.600664,2000.684297,1871.136876
