time,Skytech Microelectronics Ltd.,Silicon Innovations Corporation,NexGen Microsystems GmbH
01/01/2017,446.0,655.0,723.2
02/01/2017,442.5457074,665.1250243,732.8491533
03/01/2017,442.2380295,665.1804463,729.4755085
04/01/2017,434.7167349,664.7791714,726.777876
05/01/2017,429.292725,663.5136506,724.6704709
06/01/2017,435.8611156,658.0524577,719.3796774
07/01/2017,438.6762002,662.7869534,723.0644406
08/01/2017,443.5952221,665.4834561,728.7698083
09/01/2017,445.7039186,667.4336619,727.4112234
10/01/2017,453.6595947,662.7697016,729.2302074
11/01/2017,457.4617242,664.6150156,733.8513407
12/01/2017,458.6233798,669.7131304,738.0912014
13/01/2017,470.462491,667.2156594,733.7745786
14/01/2017,475.1694755,678.3539816,744.9710799
15/01/2017,476.9262992,684.4793318,750.951811
16/01/2017,487.6591337,687.5540539,747.4613009
17/01/2017,484.7688318,690.1669049,758.0342899
18/01/2017,487.0171091,684.7811237,757.9856247
19/01/2017,485.0136072,686.6864855,755.9379269
20/01/2017,484.859018,685.6671511,755.2970419
21/01/2017,489.3495143,687.877589,753.7797429
22/01/2017,480.5957264,697.2963278,755.2745859
23/01/2017,494.7362029,691.6503976,748.5592907
24/01/2017,486.100277,702.6247839,758.7646176
25/01/2017,473.4538481,695.6597844,756.8713266
26/01/2017,455.5705026,687.3791978,747.3910464
27/01/2017,469.648275,679.991669,735.22616
28/01/2017,481.1567961,690.6116944,742.5773299
29/01/2017,467.2437761,698.8629088,752.0304295
30/01/2017,466.4563245,693.3125502,743.307377
31/01/2017,467.5173249,689.6230947,740.1587068
01/02/2017,466.0743909,687.2628871,741.2748444
02/02/2017,472.1156833,689.1802082,745.2173855
03/02/2017,446.9883506,693.5707451,750.5721804
04/02/2017,448.7514403,674.5592787,732.5844357
05/02/2017,463.0264685,679.123092,732.4809856
06/02/2017,479.084014,687.4104415,739.0123306
07/02/2017,491.3044337,706.5726669,749.8766395
08/02/2017,503.7727391,715.2937717,751.5255751
09/02/2017,505.5345155,728.2061698,761.0293825
10/02/2017,515.2568707,736.6372662,761.2019625
11/02/2017,526.2211365,739.2525713,768.0725559
12/02/2017,519.7646726,751.7697334,774.1115497
13/02/2017,537.5731061,746.6070007,770.9994577
14/02/2017,534.6454546,758.3832856,781.5463724
15/02/2017,519.5964681,756.5358087,784.1501024
16/02/2017,518.3838826,743.3335082,772.5370129
17/02/2017,527.2080919,747.0786964,773.8985153
18/02/2017,532.0049422,752.0534918,773.8724238
19/02/2017,536.5125263,756.8877237,775.4742135
20/02/2017,541.1815179,757.6786941,782.7786358
21/02/2017,543.0139377,762.6082668,788.7630367
22/02/2017,552.6377212,763.2882063,790.5082505
23/02/2017,567.8565938,775.4958851,800.7752408
24/02/2017,589.6371478,786.3887465,810.8215931
25/02/2017,589.1190272,802.2627842,823.313069
26/02/2017,593.6706736,806.754998,816.9930563
