time,East Metal Co.,Sakura Steelworks,Black Forest Steel Co.
01/01/2017,643.68,732.78,754.31
02/01/2017,644.5750162,734.0207313,753.7496402
03/01/2017,646.0041667,734.9149908,754.862144
04/01/2017,647.0813488,735.7497523,755.9091404
05/01/2017,646.4976177,736.2890704,756.7488388
06/01/2017,649.2217092,736.9474561,756.1649482
07/01/2017,649.7151316,738.8868044,758.7597482
08/01/2017,646.8233491,739.3797168,758.8338152
09/01/2017,645.2980988,737.7268736,756.9790295
10/01/2017,644.8689071,736.9512958,757.0102109
11/01/2017,643.9720362,736.7528714,756.6966639
12/01/2017,646.2497302,736.3271286,756.5507263
13/01/2017,646.2599187,738.0660436,758.2519432
14/01/2017,646.3726893,737.7061841,757.6323037
15/01/2017,646.404031,738.4889778,758.0730188
16/01/2017,650.5989997,738.6432581,758.1821327
17/01/2017,649.666727,741.6851499,760.3075159
18/01/2017,651.2827254,741.5025948,760.2183067
19/01/2017,653.35844,742.7309889,760.1335305
20/01/2017,655.0834548,744.3533992,761.1575351
21/01/2017,653.9617077,745.3116288,762.4396861
22/01/2017,658.3942404,744.9410681,760.3464958
23/01/2017,657.1682724,747.9687544,764.4609246
24/01/2017,656.2094881,747.1478216,763.4987524
25/01/2017,655.9353614,746.5610846,764.0042294
26/01/2017,655.2585945,746.3628284,764.3330827
27/01/2017,656.1734002,746.455378,763.8287784
28/01/2017,657.5383643,746.5440039,764.6857861
29/01/2017,658.8396496,747.2701955,764.8701343
30/01/2017,661.0422919,747.9457359,766.5533797
31/01/2017,661.710706,750.2284789,768.4011315
01/02/2017,664.0908864,750.3602768,768.8958902
02/02/2017,661.5726529,751.9385769,771.1033893
03/02/2017,661.7455474,750.7785277,770.9001561
04/02/2017,660.386509,751.4084147,771.3075448
05/02/2017,659.4381903,750.4149101,771.087985
06/02/2017,658.2891812,749.1004585,771.3060078
07/02/2017,656.3564513,748.8430902,769.714225
08/02/2017,657.9945926,748.2083936,768.8917718
09/02/2017,655.118982,749.2001551,770.4710521
10/02/2017,656.7294734,747.2019385,768.7347323
11/02/2017,658.7056237,748.5101513,770.6696766
12/02/2017,660.0639776,749.3407772,772.2147734
13/02/2017,658.7879484,750.4464166,773.3370317
14/02/2017,660.0446943,749.8814863,772.240886
15/02/2017,659.9499068,750.5038596,772.8816647
16/02/2017,657.9715749,750.665163,773.881
17/02/2017,662.4092773,749.2336944,773.1440939
18/02/2017,661.3831597,751.9055045,776.5853972
19/02/2017,658.1073078,751.6050646,775.8397007
20/02/2017,659.752403,749.1001353,773.3576491
21/02/2017,658.2120454,750.0332055,774.5355643
22/02/2017,659.7851794,748.8870855,773.3429393
23/02/2017,659.0635898,749.6005561,775.6019992
24/02/2017,661.4146047,749.0729572,774.2336709
25/02/2017,659.3438341,750.9252813,776.0793829
26/02/2017,658.8491712,750.170322,774.4699711
27/02/2017,660.1683193,750.3766689,774.6207057
28/02/2017,663.2424146,751.0976836,775.5076171
01/03/2017,663.0521732,753.1000338,777.9692577
02/03/2017,660.6146631,752.9867254,777.851513
03/03/2017,660.3921568,751.3332268,777.0471099
04/03/2017,663.2321949,750.9777009,777.7932396
05/03/2017,662.1532368,753.0745242,780.0317782
06/03/2017,664.812079,752.1389075,779.3107097
07/03/2017,662.742974,753.6536371,782.0983652
08/03/2017,665.0208561,751.9495919,781.0511136
09/03/2017,663.5425308,753.4628664,783.0822041
10/03/2017,663.6657273,751.8679156,781.5522631
11/03/2017,663.7108542,752.5056338,781.3485165
12/03/2017,665.6490106,752.469959,782.9212138
13/03/2017,663.1604369,753.7385599,783.9865141
14/03/2017,664.2889395,752.2961059,782.4666983
15/03/2017,664.2094465,753.011211,782.9453065
16/03/2017,665.2476342,753.5187392,784.2672191
17/03/2017,665.9147233,754.1054997,784.9605232
18/03/2017,666.526057,754.358533,786.0400493
19/03/2017,666.6731182,754.9640703,786.8784797
20/03/2017,666.4765727,755.7240376,787.0984457
21/03/2017,662.4671105,755.9913564,786.5329824
22/03/2017,663.9402482,753.5511604,784.1341714
23/03/2017,666.5832445,754.0872165,785.9174356
24/03/2017,668.1233347,756.1220699,787.2096358
25/03/2017,665.221539,757.830218,788.9164871
26/03/2017,668.0506435,755.9671306,787.2849164
27/03/2017,665.577009,757.5423165,789.6804986
28/03/2017,665.4184177,756.1941482,788.0388391
29/03/2017,664.7243229,756.2693608,787.4462407
30/03/2017,665.5888805,756.0271341,787.6525065
31/03/2017,661.5347549,756.6556744,788.0671482
01/04/2017,660.8612183,753.8829735,785.2203352
02/04/2017,661.431543,753.923096,785.0138292
03/04/2017,659.6353509,754.610117,786.0455993
04/04/2017,661.0806937,753.5525048,784.2346913
05/04/2017,660.7981694,755.4336686,785.31265
06/04/2017,658.7712915,755.2732343,785.4376607
07/04/2017,660.2355147,753.9278659,783.2964899
08/04/2017,662.7505826,755.1676133,785.3684334
09/04/2017,664.0686232,756.7716863,786.3313141
10/04/2017,666.2672426,757.3199752,788.5024759
11/04/2017,665.2990014,759.0988459,789.4844981
12/04/2017,666.2175235,758.8823151,789.3849576
13/04/2017,666.2475442,759.3024701,789.1227453
14/04/2017,665.1473999,759.802962,789.2538192
15/04/2017,662.8134366,759.097191,788.1622516
16/04/2017,662.6152681,757.2167722,785.587835
17/04/2017,662.1965586,757.351228,785.9104342
18/04/2017,663.8881566,757.1209481,785.3719478
19/04/2017,663.9882695,758.3811967,787.3067263
20/04/2017,666.9071879,757.9770003,787.5451614
21/04/2017,668.0231428,760.1678684,789.9699137
22/04/2017,669.7086331,761.3147882,791.2183298
23/04/2017,670.7162983,762.1470356,793.0354734
24/04/2017,671.3044518,763.5877538,794.3390902
25/04/2017,674.3782003,764.3422151,796.0954269
26/04/2017,676.4217962,766.4741839,796.8848327
27/04/2017,677.9381191,768.0521461,798.4545229
28/04/2017,679.0686418,769.5940291,799.9384031
29/04/2017,678.335105,770.5942849,801.3108005
30/04/2017,679.5355011,770.0076075,801.0955526
01/05/2017,677.482474,771.0026521,801.1877479
02/05/2017,680.7282005,769.3653055,799.8645819
03/05/2017,682.2736934,772.0604636,802.1104626
04/05/2017,680.3303712,773.1185327,802.9831518
05/05/2017,679.7415927,772.3144308,802.3776965
06/05/2017,679.9359618,771.855053,801.0432076
07/05/2017,680.4507605,771.4636498,801.5991798
08/05/2017,681.5760388,771.7748943,801.1175196
09/05/2017,682.4551982,772.6054472,802.0584248
10/05/2017,683.2428029,773.159013,801.4243934
11/05/2017,684.4994007,773.090814,801.6144928
12/05/2017,688.5063258,773.8154958,803.2449875
13/05/2017,688.9939643,776.0523196,805.6942186
14/05/2017,688.1248705,776.415515,806.0657996
15/05/2017,688.1861333,776.0535932,805.1393942
16/05/2017,688.9924392,776.2882147,805.1252327
17/05/2017,690.1444562,776.4630021,806.5724508
18/05/2017,694.3416502,777.6003966,806.0687517
19/05/2017,692.302437,780.8821844,807.9154343
20/05/2017,690.7353649,779.3568104,806.6035231
21/05/2017,688.9071251,778.1539398,806.6777464
22/05/2017,689.3990084,776.8328439,805.8937222
23/05/2017,690.6754891,777.5980913,805.8387049
24/05/2017,694.5209087,777.9068167,806.4604353
25/05/2017,695.0160626,780.6915362,809.246873
26/05/2017,698.8837877,781.3748994,810.6259425
27/05/2017,699.3120318,783.7611515,813.3856465
28/05/2017,698.9880211,783.9823875,813.915244
29/05/2017,700.2215102,784.2532609,814.36587
30/05/2017,700.8704375,785.3552527,814.8435504
31/05/2017,702.9438582,786.2690425,815.1351112
01/06/2017,702.7847122,787.7752645,815.5596848
02/06/2017,699.5957844,787.6080981,815.1081628
03/06/2017,700.3326653,785.1655363,812.9460167
04/06/2017,699.0954644,785.6870577,813.6082092
05/06/2017,700.5694608,784.7555878,811.8171777
06/06/2017,701.8417314,786.1863493,812.6454527
07/06/2017,702.8003179,787.4595148,812.7047927
08/06/2017,706.5397346,788.1929948,813.3950979
09/06/2017,708.2803687,790.9501204,816.1111177
10/06/2017,707.5451688,792.2766711,817.2424146
