epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.162,3.20605,5.5578,2.85032,0.00083,0.25,0.00025,3e-05,4.126,9.59056,3.07992,4e-05,4e-05,4e-05
2,42.2589,2.96212,5.44983,2.76036,0,0,0,0,3.75954,7.00486,3.21171,9.9901e-05,9.9901e-05,9.9901e-05
3,56.0474,2.83508,5.75615,2.60276,0,0,0,0,3.27977,5.92269,3.05281,0.000159683,0.000159683,0.000159683
4,69.8636,2.78972,4.74169,2.54456,0,0,0,0,3.06933,5.92297,2.92588,0.000219347,0.000219347,0.000219347
5,83.3403,2.58438,4.46538,2.2236,0,0,0,0,2.7039,6.01059,2.91714,0.000278891,0.000278891,0.000278891
6,96.8083,2.22327,3.44011,2.10241,0.00056,0.16667,0.00012,2e-05,2.64195,5.88923,2.99687,0.000338317,0.000338317,0.000338317
7,111.663,2.33142,3.31273,1.96748,0.00056,0.16667,0.00012,3e-05,2.71339,5.92425,3.06729,0.000397624,0.000397624,0.000397624
8,126.342,2.14665,2.93231,1.8044,0.00028,0.08333,3e-05,1e-05,2.9006,6.03421,3.15498,0.000456812,0.000456812,0.000456812
9,141.581,1.93716,2.87962,1.62882,0.00028,0.08333,4e-05,1e-05,3.13172,6.02997,3.22419,0.000515882,0.000515882,0.000515882
10,155.474,1.92256,2.76628,1.55395,0.00028,0.08333,4e-05,1e-05,3.20865,6.01204,3.23549,0.000574832,0.000574832,0.000574832
11,169.441,1.92758,2.30304,1.49083,0.00056,0.16667,0.00014,4e-05,3.08517,5.9942,3.14678,0.000633664,0.000633664,0.000633664
12,183.216,1.92251,2.14188,1.48101,0.00056,0.16667,0.00014,6e-05,2.9207,5.87044,3.03453,0.000692377,0.000692377,0.000692377
13,197.234,1.59324,2.25456,1.30979,0.00083,0.25,0.00031,0.00011,2.46687,5.65187,2.7471,0.000750971,0.000750971,0.000750971
14,211.121,1.81146,2.14464,1.35791,0.00111,0.33333,0.00059,0.00015,2.29078,5.49375,2.61143,0.000809447,0.000809447,0.000809447
15,225.403,1.61442,2.27675,1.32957,0.00139,0.41667,0.0009,0.00034,2.01528,5.18531,2.32755,0.000867803,0.000867803,0.000867803
16,240.008,1.73932,1.94653,1.32583,0.00194,0.58333,0.00171,0.00049,1.96882,4.99883,2.18663,0.000926041,0.000926041,0.000926041
17,254.351,1.63493,1.86753,1.26041,0.00194,0.58333,0.00181,0.00102,1.84483,4.92498,2.14559,0.00098416,0.00098416,0.00098416
18,268.317,1.75811,1.84369,1.37193,0.00278,0.83333,0.00678,0.00213,1.74597,4.74951,2.13324,0.00104216,0.00104216,0.00104216
19,282.484,1.67779,1.9129,1.2807,0.00278,0.83333,0.01676,0.00565,1.67388,4.43631,1.99899,0.00110004,0.00110004,0.00110004
20,296.53,1.56187,1.66642,1.21075,0.00443,0.91667,0.06076,0.02734,1.65799,4.09036,1.74839,0.0011578,0.0011578,0.0011578
21,310.737,1.63581,1.84844,1.28437,1,0.16541,0.49991,0.26167,1.57925,3.77017,1.54678,0.00121545,0.00121545,0.00121545
22,324.749,1.73727,1.79489,1.262,1,0.14629,0.81775,0.45154,1.48772,3.76024,1.46812,0.00127297,0.00127297,0.00127297
23,338.667,1.62816,1.83788,1.24872,0.29676,0.16667,0.36986,0.20066,1.45161,3.62781,1.39875,0.00133038,0.00133038,0.00133038
24,352.524,1.59134,1.67493,1.26802,0.22643,0.16667,0.31196,0.16888,1.43649,3.20715,1.26818,0.00138767,0.00138767,0.00138767
25,366.432,1.87496,2.05326,1.5154,0.45258,0.41667,0.5255,0.32776,1.33997,2.80491,1.17861,0.00144484,0.00144484,0.00144484
26,380.835,1.39295,1.61269,1.2304,0.91774,0.93068,0.98269,0.58905,1.33218,2.4086,1.14125,0.00150189,0.00150189,0.00150189
27,395.467,1.6436,1.6935,1.3062,0.92132,0.97714,0.95038,0.59171,1.29437,2.23426,1.1286,0.00155882,0.00155882,0.00155882
28,409.467,1.5112,1.68778,1.22283,0.92195,0.98529,0.96962,0.60159,1.27255,2.23693,1.1282,0.00161563,0.00161563,0.00161563
29,423.536,1.51215,1.6184,1.22276,0.92195,0.98529,0.96962,0.60159,1.27255,2.23693,1.1282,0.00167232,0.00167232,0.00167232
30,437.745,1.47594,1.63084,1.19139,0.90169,1,0.96962,0.62391,1.25423,2.17215,1.11056,0.0017289,0.0017289,0.0017289
31,451.567,1.47679,1.46773,1.16297,0.87935,1,0.98269,0.60044,1.26813,2.14066,1.11917,0.00178535,0.00178535,0.00178535
32,465.584,1.41303,1.51456,1.18529,1,0.96883,0.995,0.6307,1.29863,2.07507,1.09738,0.00184169,0.00184169,0.00184169
33,479.725,1.53284,1.42406,1.21789,1,0.96883,0.995,0.6307,1.29863,2.07507,1.09738,0.00189791,0.00189791,0.00189791
34,493.626,1.3878,1.46558,1.13669,1,0.98991,0.995,0.65617,1.35055,1.89074,1.0916,0.00193466,0.00193466,0.00193466
35,507.623,1.5716,1.5289,1.31037,0.98164,1,0.995,0.6252,1.3596,1.72648,1.07695,0.00193268,0.00193268,0.00193268
36,521.679,1.53987,1.48019,1.24882,0.99076,1,0.995,0.63346,1.31367,1.45119,1.09196,0.0019307,0.0019307,0.0019307
37,535.583,1.36935,1.47769,1.2226,0.99076,1,0.995,0.63346,1.31367,1.45119,1.09196,0.00192872,0.00192872,0.00192872
38,549.529,1.37202,1.37998,1.15614,0.9915,1,0.995,0.63259,1.2846,1.35698,1.08445,0.00192674,0.00192674,0.00192674
39,563.358,1.52775,1.45285,1.31486,0.99533,1,0.995,0.67864,1.22091,1.36179,1.04906,0.00192476,0.00192476,0.00192476
40,577.373,1.27175,1.25114,1.13961,0.99627,1,0.995,0.62627,1.31985,1.33077,1.06714,0.00192278,0.00192278,0.00192278
41,591.227,1.4037,1.41359,1.21925,0.99627,1,0.995,0.62627,1.31985,1.33077,1.06714,0.0019208,0.0019208,0.0019208
42,605.464,1.45218,1.30495,1.21883,0.97998,1,0.995,0.54825,1.42607,1.37284,1.16053,0.00191882,0.00191882,0.00191882
43,619.34,1.37615,1.11998,1.17949,0.91822,1,0.96962,0.5857,1.39051,1.42378,1.16639,0.00191684,0.00191684,0.00191684
44,633.31,1.43344,1.20303,1.17764,0.98955,1,0.995,0.57333,1.41438,1.36881,1.16381,0.00191486,0.00191486,0.00191486
45,647.233,1.55059,1.47797,1.24934,0.98955,1,0.995,0.57333,1.41438,1.36881,1.16381,0.00191288,0.00191288,0.00191288
46,661.215,1.36367,1.2291,1.18306,0.99379,1,0.995,0.61896,1.37437,1.33705,1.11025,0.0019109,0.0019109,0.0019109
47,675.045,1.35512,1.13722,1.13614,0.99092,1,0.995,0.63098,1.33876,1.30574,1.08615,0.00190892,0.00190892,0.00190892
48,689.591,1.4238,1.17243,1.12952,0.99325,1,0.995,0.65178,1.32193,1.27205,1.09582,0.00190694,0.00190694,0.00190694
49,704.271,1.32054,1.2138,1.13567,0.99325,1,0.995,0.65178,1.32193,1.27205,1.09582,0.00190496,0.00190496,0.00190496
50,719.461,1.29345,1.12346,1.11053,0.99376,1,0.995,0.5956,1.39314,1.29394,1.13263,0.00190298,0.00190298,0.00190298
51,734.697,1.29953,1.29867,1.15204,0.9927,1,0.995,0.59157,1.42245,1.28207,1.12652,0.001901,0.001901,0.001901
52,749.509,1.33129,1.21202,1.16275,0.99406,1,0.995,0.59415,1.33389,1.26011,1.07524,0.00189902,0.00189902,0.00189902
53,764.157,1.35152,1.20153,1.11507,0.99406,1,0.995,0.59415,1.33389,1.26011,1.07524,0.00189704,0.00189704,0.00189704
54,778.923,1.2499,1.14867,1.0923,0.99165,1,0.995,0.62037,1.36579,1.22616,1.1129,0.00189506,0.00189506,0.00189506
55,793.741,1.32622,1.16809,1.17215,0.99552,1,0.995,0.57168,1.42781,1.22413,1.17455,0.00189308,0.00189308,0.00189308
56,808.409,1.25892,1.09272,1.11144,0.99513,1,0.995,0.5762,1.45752,1.20126,1.20723,0.0018911,0.0018911,0.0018911
57,822.639,1.22775,1.08216,1.12927,0.99513,1,0.995,0.5762,1.45752,1.20126,1.20723,0.00188912,0.00188912,0.00188912
58,836.757,1.23973,1.01834,1.04394,0.9933,1,0.995,0.58397,1.43791,1.21552,1.16347,0.00188714,0.00188714,0.00188714
59,851.238,1.32931,1.14518,1.15647,0.99457,1,0.995,0.55983,1.46321,1.13695,1.14162,0.00188516,0.00188516,0.00188516
60,865.711,1.30848,1.03959,1.09614,0.99473,1,0.995,0.52701,1.53573,1.16873,1.15875,0.00188318,0.00188318,0.00188318
61,879.805,1.35439,1.26448,1.1538,0.99473,1,0.995,0.52701,1.53573,1.16873,1.15875,0.0018812,0.0018812,0.0018812
62,894.554,1.37153,1.02673,1.15421,0.9947,1,0.995,0.54396,1.58826,1.20232,1.19651,0.00187922,0.00187922,0.00187922
63,909.272,1.31618,1.08943,1.20855,0.99454,1,0.995,0.57516,1.56003,1.17008,1.15833,0.00187724,0.00187724,0.00187724
64,924.024,1.30818,1.03424,1.10575,0.99428,1,0.995,0.53933,1.53709,1.07394,1.13023,0.00187526,0.00187526,0.00187526
65,938.319,1.32372,1.04636,1.14981,0.99428,1,0.995,0.53933,1.53709,1.07394,1.13023,0.00187328,0.00187328,0.00187328
66,953.015,1.1267,0.98139,1.08975,0.99413,1,0.995,0.58878,1.42413,1.0529,1.0979,0.0018713,0.0018713,0.0018713
67,967.173,1.25739,1.00968,1.10208,0.99451,1,0.995,0.58457,1.45689,1.02312,1.11685,0.00186932,0.00186932,0.00186932
