case:concept:name,concept:name
0,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
1,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
2,"['Battery cell completely discharged', 'Check battery cell for damage', 'Check the capacity of the safety box', 'Place battery cell in safety box']"
3,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
4,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
5,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Clean electrodes', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
6,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
7,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
8,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
9,"['Battery cell completely discharged', 'Check battery cell for damage', 'Check the capacity of the safety box', 'Place battery cell in safety box']"
10,"['Battery cell completely discharged', 'Check battery cell for damage', 'Open battery cell', 'Collect electrolyte separately', 'Clean electrodes', 'Shred electrodes', 'Melt down solid materials', 'Collect recyclable materials', 'Dispose of non-reusable materials']"
